Via Cantonale;15;Gorduno
Alla Nave;2;Gorduno
Sottovia;8;Gorduno
Via Rodello;1;Gorduno
Via ai Chiossi;49;Gorduno
Via ai Chiossi;51;Gorduno
Via Pedarii;5;Gorduno
Via Pedarii;11;Gorduno
Via Cantonale;18;Gorduno
Via Ricciadino;28;Gorduno
Via Ricciadino;24;Gorduno
Via Ricciadino;27;Gorduno
Via Cantonale;5;Gorduno
Via Ricciadino;13;Gorduno
Via Ricciadino;9;Gorduno
Via Caringetto;9;Gorduno
Caraa di Stalón;1;Gorduno
Caraa di Stalón;3;Gorduno
Via Galbisio;111;Gorduno
Via Ricciadino;2;Gorduno
Via Ricciadino;6;Gorduno
Via Ricciadino;10;Gorduno
Via Ricciadino;8;Gorduno
Via Ricciadino;12;Gorduno
Via Ricciadino;18;Gorduno
Via Ricciadino;20;Gorduno
Via Galbisio;120;Gorduno
Ciusa;3;Gorduno
Ciusa;1;Gorduno
Via Cantone;29;Gorduno
Via Mondelle;7;Gorduno
Via Cantone;21;Gorduno
Via Mondelle;24;Gorduno
Via Mondelle;14;Gorduno
Via Mondelle;8;Gorduno
Caraa di Stalón;6;Gorduno
Caraa di Stalón;4;Gorduno
Caraa di Stalón;2;Gorduno
Via Cantone;7;Gorduno
Via Cantone;2;Gorduno
Via Interna;1;Gorduno
Caraa di Stracc;3;Gorduno
Caraa di Stracc;2;Gorduno
Caraa di Stracc;1;Gorduno
Caraa di Pele;2;Gorduno
Caraa di Pele;4;Gorduno
Caraa di Pele;6;Gorduno
Caraa di Pele;1;Gorduno
Via Cantone;4;Gorduno
Via Cantone;6;Gorduno
Via Interna;5;Gorduno
Via Interna;2;Gorduno
Via Interna;6;Gorduno
Caraa Scarevro;4;Gorduno
Al Mitt;4;Gorduno
Al Mitt;2;Gorduno
Via Cantone;20;Gorduno
Al Mitt;3;Gorduno
Via Cantone;22;Gorduno
Al Mitt;6;Gorduno
Via Rodello;18;Gorduno
Via Rodello;10;Gorduno
Via Rodello;4;Gorduno
Via Rodello;2;Gorduno
Piazza della Chiesa;1;Gorduno
Piazza della Chiesa;2;Gorduno
Piazza della Chiesa;5;Gorduno
Via Caringetto;14;Gorduno
Caraa di Pele;3;Gorduno
Via Pedarii;13;Gorduno
Via ai Chiossi;74;Gorduno
Via ai Chiossi;64;Gorduno
Via ai Chiossi;62;Gorduno
Via ai Chiossi;60;Gorduno
Via Rivi Munt;20;Gorduno
Via Rivi Munt;18;Gorduno
Via Rivi Munt;16;Gorduno
Via Rivi Munt;12;Gorduno
Via Rivi Munt;33;Gorduno
Via ai Chiossi;18;Gorduno
Via Rivi Munt;9;Gorduno
Via ai Chiossi;10;Gorduno
Via Rivi Munt;5;Gorduno
Via ai Chiossi;2;Gorduno
Via ai Chiossi;1;Gorduno
Via Ronchetti;18;Gorduno
Via Ronchetti;20;Gorduno
Via ai Chiossi;43;Gorduno
Via Ronchetti;15;Gorduno
Via Caringetto;6;Gorduno
Via Ronchetti;13;Gorduno
Via Ronchetti;7;Gorduno
Via Caringetto;2;Gorduno
Via Rivascia;3;Gorduno
Sottovia;4;Gorduno
Via Prati Grandi;13;Gorduno
Sottovia;6;Gorduno
Via Rivascia;11;Gorduno
Via Cantonale;24;Gorduno
Via Burgaio;11;Gorduno
Via Burgaio;15;Gorduno
Via Rivascia;13;Gorduno
Ai Casin;1;Gorduno
Sottovia;12;Gorduno
Sottovia;14;Gorduno
Via Rivascia;8;Gorduno
Via Rodello;14;Gorduno
Caraa di Stalón;11;Gorduno
Via Caringetto;4;Gorduno
Via Pedrierto;6;Gorduno
Via Pedarii;4;Gorduno
Via Pedarii;6;Gorduno
Via Pedrierto;7;Gorduno
Via Pedrierto;3;Gorduno
Via Burgaio;12;Gorduno
Via Burgaio;6;Gorduno
in Campagna;7;Gorduno
Via Cantonale;10;Gorduno
Via Rodello;28;Gorduno
Via Rodello;22;Gorduno
Via Rivi Munt;15;Gorduno
Via ai Chiossi;4;Gorduno
Via ai Chiossi;23;Gorduno
Via ai Chiossi;45;Gorduno
