Garéida Sot;766c;Mesocco
Benabbia;74a;Mesocco
Darba;467;Mesocco
Andergia;470;Mesocco
Leso;243a;Mesocco
Crimeo;131;Mesocco
Leso;301;Mesocco
strada de Déira;4;Mesocco
Doira;390;Mesocco
a la Bróna de Darba;24;Mesocco
strada de Curciana;18;Mesocco
Anzon;355;Mesocco
Geira;334e-a;Mesocco
Geira;334a;Mesocco
San Rocco;323;Mesocco
San Rocco;322;Mesocco
San Rocco;321;Mesocco
Crimeo;135;Mesocco
Crimeo;158;Mesocco
Crimeo;82;Mesocco
Logiano;400b;Mesocco
Logiano;403b;Mesocco
Crimeo;112-a;Mesocco
Leso;232;Mesocco
Leso;236c;Mesocco
Casclei;675b;Mesocco
Benabbia;66a;Mesocco
San Rocco;335b-a;Mesocco
Leso;228;Mesocco
San Rocco;336a-a;Mesocco
Leso;238c-a;Mesocco
Crimeo;84a;Mesocco
Stradón;115;Mesocco
Stradón;117;Mesocco
Stradón;119;Mesocco
strada de Buschítt;4;Mesocco
strada d'Andèrgi;6;Mesocco
Pradiròn;721;Mesocco
strada de Léis;77;Mesocco
Scimavila;10;Mesocco
Pian San Giacomo;640bb;Mesocco
strada de Cèbia;39;Mesocco
Pian San Giacomo;719;Mesocco
strada de Cèbia;48;Mesocco
strada de Cumpréid;12;Mesocco
Gei;619g;Mesocco
Crimeo;82a;Mesocco
Pian San Giacomo;755a;Mesocco
Darba;457a;Mesocco
Còzz de dént;3;Mesocco
strada de Darba;5;Mesocco
Pian San Giacomo;671c;Mesocco
Leso;910;Mesocco
strada de Cèbia;44;Mesocco
strada de Darba;;Mesocco
strada de Léis;3;Mesocco
Stabi;702a;Mesocco
Andergia;697;Mesocco
Stabi;725;Mesocco
strada de la Stazión;;Mesocco
strada de Léis;31;Mesocco
strada del Pian;5b;Mesocco
strada del Pian;38b;Mesocco
strada del Pian;2b;Mesocco
strada de Darba rodónda;8a;Mesocco
strada de Curciana;14b;Mesocco
strada de Curciana;28b;Mesocco
strada de Lusgián;11b;Mesocco
strada de Lusgián;9b;Mesocco
strada de Ranghéla;2;Mesocco
Stradón;61b;Mesocco
Stradón;59b;Mesocco
Stradón;57b;Mesocco
Stradón;53b;Mesocco
Stradón;47c;Mesocco
strada de Léis;6b;Mesocco
strada de Léis;2b;Mesocco
strada de Léis;36b;Mesocco
strada de la Géisa;16;Mesocco
strada de la Géisa;36;Mesocco
strada de Gèi;11b;Mesocco
Stradón;3b;Mesocco
Stradón;19b;Mesocco
strécia de Criméi;1;Mesocco
Stradón;13b;Mesocco
strada de la Géisa;2b;Mesocco
strada de San Ròch;2b;Mesocco
strada de la Schéla;4b;Mesocco
strécia de la Schéla;19b;Mesocco
Stradón;64b;Mesocco
Stradón;58b;Mesocco
Stradón;50b;Mesocco
strécia de la Schéla;2;Mesocco
Stradón;40b;Mesocco
strada del Purlinghéni;2d;Mesocco
strada de Benábia;48b;Mesocco
strada de Léis;34b;Mesocco
Stradón;46b;Mesocco
strada Néva;2b;Mesocco
Stradón;27b;Mesocco
Stradón;11b;Mesocco
strada del Pian;5b;Mesocco
Stradón;25b;Mesocco
strada de la Stalàn;11b;Mesocco
a la Bróna de Darba;7.1;Mesocco
strada de Lusgián;11c;Mesocco
Stradón;47b;Mesocco
strada de Léis;2a;Mesocco
strada del Purlinghéni;2e;Mesocco
strada de Benábia;48c;Mesocco
Stradón;11c;Mesocco
a la Bróna de Darba;7.2;Mesocco
strada del Purlinghéni;2b;Mesocco
Stradón;11d;Mesocco
strada del Purlinghéni;2c;Mesocco
