Rigi Unterstetten;1;Rigi Kaltbad;6356
Rigi Unterstetten;2;Rigi Kaltbad;6356
Oberer Firstweg;74;Rigi Kaltbad;6356
Oberer Firstweg;70;Rigi Kaltbad;6356
Oberer Firstweg;69;Rigi Kaltbad;6356
Oberer Firstweg;65;Rigi Kaltbad;6356
Oberer Firstweg;63;Rigi Kaltbad;6356
Firstweg;21;Rigi Kaltbad;6356
Oberer Firstweg;66;Rigi Kaltbad;6356
Unterer Firstweg;49;Rigi Kaltbad;6356
Unterer Firstweg;47;Rigi Kaltbad;6356
Unterer Firstweg;45;Rigi Kaltbad;6356
General-Guisan-Weg;30;Rigi Kaltbad;6356
General-Guisan-Weg;27;Rigi Kaltbad;6356
General-Guisan-Weg;21;Rigi Kaltbad;6356
General-Guisan-Weg;20;Rigi Kaltbad;6356
General-Guisan-Weg;4;Rigi Kaltbad;6356
Staffelhöheweg;57;Rigi Kaltbad;6356
Staffelhöheweg;60;Rigi Kaltbad;6356
Staffelhöheweg;61;Rigi Kaltbad;6356
Staffelhöheweg;36;Rigi Kaltbad;6356
Staffelhöheweg;34;Rigi Kaltbad;6356
Staffelhöheweg;30;Rigi Kaltbad;6356
Staffelhöheweg;32;Rigi Kaltbad;6356
Staffelhöheweg;28;Rigi Kaltbad;6356
Staffelhöheweg;23;Rigi Kaltbad;6356
Staffelhöheweg;19;Rigi Kaltbad;6356
Fyrabigweg;30;Rigi Kaltbad;6356
Fyrabigweg;21;Rigi Kaltbad;6356
Fyrabigweg;23;Rigi Kaltbad;6356
Fyrabigweg;24;Rigi Kaltbad;6356
Fyrabigweg;22;Rigi Kaltbad;6356
Rotstockweg;39;Rigi Kaltbad;6356
Rotstockweg;29;Rigi Kaltbad;6356
Staffelhöheweg;11;Rigi Kaltbad;6356
Staffelhöheweg;7;Rigi Kaltbad;6356
Staffelhöheweg;3;Rigi Kaltbad;6356
Staffelhöheweg;4;Rigi Kaltbad;6356
Fyrabigweg;15;Rigi Kaltbad;6356
Staffelhöheweg;2;Rigi Kaltbad;6356
Fyrabigweg;7;Rigi Kaltbad;6356
