Waldheim;1060;Algetshausen
Weidhof;2069;Algetshausen
Waldegg;1058;Algetshausen
Oklahomastrasse;21;Oberstetten
Oklahomastrasse;29;Oberstetten
Scheidweg;3;Niederstetten
Salen;2620;Niederstetten
Weidweg;5;Algetshausen
Weidweg;7;Algetshausen
Oberdorfstrasse;3d;Algetshausen
Oberdorfstrasse;3e;Algetshausen
Salenstrasse;38;Niederstetten
Dorfstrasse;17;Algetshausen
Oberdorfstrasse;3g;Algetshausen
Oberdorfstrasse;3h;Algetshausen
Stockenstrasse;21c;Algetshausen
Dorfstrasse;9;Algetshausen
Salenstrasse;23;Niederstetten
Oklahomastrasse;6;Oberstetten
Oklahomastrasse;8;Oberstetten
Blumenau;10;Algetshausen
Blumenau;16;Algetshausen
Brunnenstrasse;2;Algetshausen
Dorfstrasse;20a;Algetshausen
Gartenmoosstrasse;1;Algetshausen
Gartenmoosstrasse;11;Algetshausen
Gartenmoosstrasse;13;Algetshausen
Gartenmoosstrasse;17;Algetshausen
Gartenmoosstrasse;19;Algetshausen
Gartenmoosstrasse;9;Algetshausen
Gartenmoosstrasse;7;Algetshausen
Gartenmoosstrasse;5;Algetshausen
Gartenmoosstrasse;35;Algetshausen
Gartenmoosstrasse;33;Algetshausen
Gartenmoosstrasse;3;Algetshausen
Gartenmoosstrasse;23;Algetshausen
Gartenmoosstrasse;25;Algetshausen
Gartenmoosstrasse;27;Algetshausen
Gartenmoosstrasse;29;Algetshausen
Feldstrasse;7;Niederstetten
Scheidweg;4;Niederstetten
Ölbergstrasse;1;Niederstetten
Oberdorfstrasse;3i;Algetshausen
Oberdorfstrasse;3f;Algetshausen
Oklahomastrasse;27;Oberstetten
Stockenstrasse;11b;Algetshausen
Stockenstrasse;17a;Algetshausen
Stockenstrasse;17b;Algetshausen
Stockenstrasse;17c;Algetshausen
Stockenstrasse;23a;Algetshausen
Büelwiesstrasse;25b;Algetshausen
Büelwiesstrasse;25c;Algetshausen
Büelwiesstrasse;25d;Algetshausen
Stockenstrasse;10;Algetshausen
Stockenstrasse;10a;Algetshausen
Stockenstrasse;10b;Algetshausen
Stockenstrasse;10c;Algetshausen
Stockenstrasse;10e;Algetshausen
Stockenstrasse;10g;Algetshausen
Weidweg;1;Algetshausen
Weidweg;9;Algetshausen
Hespelstrasse;1;Algetshausen
Hespelstrasse;3;Algetshausen
Hespelstrasse;5;Algetshausen
Hespelstrasse;7;Algetshausen
Hespelstrasse;9;Algetshausen
Hespelstrasse;11;Algetshausen
Dorfstrasse;21;Algetshausen
Käsereiweg;5;Algetshausen
Stockenstrasse;10d;Algetshausen
Stockenstrasse;10f;Algetshausen
Stockenstrasse;10h;Algetshausen
