Via Giuseppe Motta;61;Riva San Vitale
Via Settala;8;Riva San Vitale
Via Opera Don Guanella;2;Riva San Vitale
Piazza Grande;9;Riva San Vitale
Via Poiana;53;Riva San Vitale
Via Industria;16b;Riva San Vitale
Piazza Grande;6;Riva San Vitale
Piazza Grande;19;Riva San Vitale
Via Industria;6;Riva San Vitale
Via Industria;7;Riva San Vitale
Via Monsignor Sesti;1b;Riva San Vitale
Via Valserrata;;Riva San Vitale
Via Vincenzo Vela;6;Riva San Vitale
Via Settala;6b;Riva San Vitale
Via Settala;6c;Riva San Vitale
Via Settala;6d;Riva San Vitale
Via Settala;4;Riva San Vitale
Piazzetta del Guasto;2a;Riva San Vitale
Piazzetta del Guasto;3b;Riva San Vitale
Piazzetta del Guasto;4;Riva San Vitale
Via Rovio;5;Riva San Vitale
Via Rovio;1;Riva San Vitale
Via dell'Inglese;5;Riva San Vitale
Via Settala;7;Riva San Vitale
Via dell'Inglese;8;Riva San Vitale
Via Settala;5;Riva San Vitale
Piazza Grande;20a;Riva San Vitale
Via Opera Don Guanella;7;Riva San Vitale
Via dell'Inglese;6;Riva San Vitale
Piazza Grande;21;Riva San Vitale
Via dell'Inglese;1;Riva San Vitale
Via dell'Inglese;3;Riva San Vitale
Piazza Grande;17;Riva San Vitale
Via Rovio;2b;Riva San Vitale
Via Rovio;6;Riva San Vitale
Via Mo. G.B. Mantegazzi;11f;Riva San Vitale
Via Mo. G.B. Mantegazzi;9;Riva San Vitale
Via Rovio;2d;Riva San Vitale
Via Rovio;2;Riva San Vitale
Via Mo. G.B. Mantegazzi;8;Riva San Vitale
Via Mo. G.B. Mantegazzi;6;Riva San Vitale
Via Opera Don Guanella;1b;Riva San Vitale
Via Mo. G.B. Mantegazzi;2;Riva San Vitale
Piazza Grande;3;Riva San Vitale
Via Mo. G.B. Mantegazzi;11g;Riva San Vitale
Via Opera Don Guanella;5;Riva San Vitale
Piazza Valleggio;5;Riva San Vitale
Piazza Valleggio;3;Riva San Vitale
Via Opera Don Guanella;13;Riva San Vitale
Via Opera Don Guanella;9;Riva San Vitale
Via Opera Don Guanella;8;Riva San Vitale
Via Opera Don Guanella;4;Riva San Vitale
Via Opera Don Guanella;14;Riva San Vitale
Piazza Grande;5;Riva San Vitale
Via Generale Guisan;12;Riva San Vitale
Via Opera Don Guanella;16;Riva San Vitale
Via Santa Croce;3;Riva San Vitale
Via Generale Guisan;8;Riva San Vitale
Via Generale Guisan;2;Riva San Vitale
Piazza Grande;7;Riva San Vitale
Via Santa Croce;1b;Riva San Vitale
Piazza Grande;13;Riva San Vitale
Via Arc. Don Gottardo Zurini;1;Riva San Vitale
Piazza Grande;12b;Riva San Vitale
Piazza Grande;12c;Riva San Vitale
Piazza Grande;11;Riva San Vitale
Piazza del Ponte;13;Riva San Vitale
Piazza del Ponte;12;Riva San Vitale
Piazza del Ponte;7;Riva San Vitale
Piazza del Ponte;8;Riva San Vitale
Piazza del Ponte;8a;Riva San Vitale
Piazza Valleggio;6;Riva San Vitale
Piazza Valleggio;7;Riva San Vitale
Piazza Valleggio;8a;Riva San Vitale
Via Santa Croce;14;Riva San Vitale
Piazza Valleggio;8c;Riva San Vitale
Via Santa Croce;12a;Riva San Vitale
Via Santa Croce;12b;Riva San Vitale
Via Santa Croce;10;Riva San Vitale
Via Santa Croce;8;Riva San Vitale
Via al Ponte;8;Riva San Vitale
Via al Ponte;4;Riva San Vitale
Piazza del Ponte;2;Riva San Vitale
Piazza del Ponte;5;Riva San Vitale
Via Santa Croce;16;Riva San Vitale
Via Santa Croce;18;Riva San Vitale
Via Stefano Franscini;1;Riva San Vitale
Via Ceresio;1;Riva San Vitale
Via Stefano Franscini;2;Riva San Vitale
Via Santa Croce;6;Riva San Vitale
Via al Ponte;3;Riva San Vitale
Via Santa Croce;4;Riva San Vitale
Via al Ponte;1;Riva San Vitale
Via Santa Croce;2;Riva San Vitale
Piazza del Ponte;1;Riva San Vitale
Via Ceresio;1a;Riva San Vitale
