Vordere Stalden;592;Schwarzsee
Ried;38;Oberschrot
Zelgli;21;Oberschrot
Zelgli;23;Oberschrot
Bachmatte;34;Oberschrot
Ried;32;Oberschrot
Bachmatte;15;Oberschrot
Bachmatte;9;Oberschrot
Haltli;37;Oberschrot
Plötscha;47;Oberschrot
Plötscha;41;Oberschrot
Plötscha;39;Oberschrot
Plötscha;67;Oberschrot
Plötscha;69;Oberschrot
Plötscha;71;Oberschrot
Plötscha;130;Oberschrot
Plötscha;45;Oberschrot
Riedere;52;Oberschrot
Plötscha;132;Oberschrot
Ried;34;Oberschrot
Riedere;48;Oberschrot
Haltli;16;Oberschrot
Sommerbüel;32;Oberschrot
Zelgli;15;Oberschrot
Sahli;20;Oberschrot
Haltli;8;Oberschrot
Gousmatte;17;Oberschrot
Bachmatte;31;Oberschrot
Büel;49;Oberschrot
Plötscha;86;Oberschrot
Riedere;42;Oberschrot
Bachmatte;30;Oberschrot
Büel;11;Oberschrot
Zelgli;1;Oberschrot
Büel;15;Oberschrot
Zelgli;3;Oberschrot
Hauptstrasse;21;Plaffeien
Hollerweg;8;Plaffeien
Winkelstrasse;18;Plaffeien
Winkelstrasse;23;Plaffeien
Hollerweg;15;Plaffeien
Telmoos;18;Plaffeien
Telmoos;76;Plaffeien
Chromenstrasse;6;Plaffeien
Chromenstrasse;8;Plaffeien
Chromenstrasse;10;Plaffeien
Junkerweg;9;Plaffeien
Junkerweg;11;Plaffeien
Rüttistrasse;45;Plaffeien
Rüttistrasse;57;Plaffeien
Rüttistrasse;59;Plaffeien
Rüttistrasse;111;Plaffeien
Rüttistrasse;139;Plaffeien
Rüttistrasse;143;Plaffeien
Rüttistrasse;149;Plaffeien
Stäfeliweg;2;Plaffeien
Stäfeliweg;4;Plaffeien
Stäfeliweg;8;Plaffeien
Stäfeliweg;10;Plaffeien
Stäfeliweg;12;Plaffeien
Stäfeliweg;14;Plaffeien
Gurlistrasse;7;Plaffeien
Gurlistrasse;21;Plaffeien
Rufenen;12;Plaffeien
Alt Rufenenweg;30;Plaffeien
Rainweg;31;Plaffeien
Bruchbühl;60;Plaffeien
Lindenweg;2;Plaffeien
Lindenweg;4;Plaffeien
Lindenweg;6;Plaffeien
Lindenweg;8;Plaffeien
Lindenweg;16;Plaffeien
Lindenweg;20;Plaffeien
Lindenweg;27;Plaffeien
Grubenweg;27;Plaffeien
Grubenweg;29;Plaffeien
Sellenweg;10;Plaffeien
Sellenweg;14;Plaffeien
Rufenen;30;Plaffeien
Rufenen;32;Plaffeien
Oberi Matta;11;Plaffeien
Jostrütti;26;Plaffeien
Zollhaus;31;Schwarzsee
Schwarzseestrasse;67;Schwarzsee
Schwarzseestrasse;73;Schwarzsee
Tromooserli;30;Schwarzsee
Tromooserli;8;Schwarzsee
Mösli;34;Schwarzsee
Gerendacherli;25;Schwarzsee
Gerendacherli;7;Schwarzsee
Schwarzseestrasse;107;Schwarzsee
Rohrmatta;15;Schwarzsee
Rohrmatta;25;Schwarzsee
Rohrmatta;22;Schwarzsee
Rohrmatta;19;Schwarzsee
Rohrmatta;18;Schwarzsee
Rohrmatta;20;Schwarzsee
Kaspera;46;Schwarzsee
Kaspera;4;Schwarzsee
Kaspera;19;Schwarzsee
Burstera;6;Schwarzsee
Burstera;89;Schwarzsee
Brüggera;37;Schwarzsee
Hürleni;52;Schwarzsee
Brüggera;17;Schwarzsee
Brüggera;15;Schwarzsee
Schwarzseestrasse;206;Schwarzsee
Brüggera;20;Schwarzsee
Schwarzseestrasse;207;Schwarzsee
Hürleni;288;Schwarzsee
Schwarzseestrasse;216;Schwarzsee
Schwarzseestrasse;211;Schwarzsee
Seestrasse;71;Schwarzsee
Seeblick;34;Schwarzsee
Seestrasse;132;Schwarzsee
Bad;14;Schwarzsee
Bad;40;Schwarzsee
Seestrasse;133;Schwarzsee
Seeweid;14;Schwarzsee
Seeweid;16;Schwarzsee
Seeweid;19;Schwarzsee
Seeweid;20;Schwarzsee
Seeweid;26;Schwarzsee
Seeweid;98;Schwarzsee
Seeweid;28;Schwarzsee
Seeweid;29;Schwarzsee
Seeweid;37;Schwarzsee
Seeweid;51;Schwarzsee
Seeweid;56;Schwarzsee
Seeweid;59;Schwarzsee
Seeweid;61;Schwarzsee
Seeweid;66;Schwarzsee
Seeweid;67;Schwarzsee
Seeweid;68;Schwarzsee
Seeweid;71;Schwarzsee
Seeweid;78;Schwarzsee
Seeweid;81;Schwarzsee
Seeweid;95;Schwarzsee
Seeweid;70;Schwarzsee
Seeweid;105;Schwarzsee
Seeweid;76;Schwarzsee
Seeweid;104;Schwarzsee
Udrischa;574;Schwarzsee
Charris;148;Schwarzsee
Under Erlenbruch;133;Schwarzsee
Holzena;149;Schwarzsee
Lenggera;74;Schwarzsee
Hintere Stalden;422;Schwarzsee
Seeweid;99;Schwarzsee
Ober Erlenbruch;305;Schwarzsee
Seeweid;36;Schwarzsee
Seeweid;91;Schwarzsee
Grubenweg;7;Plaffeien
Gypsera;231;Schwarzsee
Seestrasse;130;Schwarzsee
Seestrasse;121;Schwarzsee
Gypsera;225;Schwarzsee
Rohrmatta;11;Schwarzsee
Zollhaus;29;Schwarzsee
Zollhaus;17;Schwarzsee
Schulhausweg;10;Plaffeien
Müli;12;Plaffeien
Kapellenstrasse;9;Plaffeien
Grubenweg;10;Plaffeien
Niederried;60;Oberschrot
Zuckerli;113;Schwarzsee
Oberi Matta;10;Plaffeien
Seeweid;204;Schwarzsee
Bachmatte;44;Oberschrot
Plötscha;73;Oberschrot
Ried;61;Oberschrot
Riedere;44;Oberschrot
Ried;59;Oberschrot
Zelgli;19;Oberschrot
Bachmatte;42;Oberschrot
Burstera;39;Schwarzsee
Riedere;51;Oberschrot
Plötscha;95;Oberschrot
Riedere;49;Oberschrot
Bachmatte;1;Oberschrot
Schwarzhärd;14;Oberschrot
Rüttistrasse;21;Plaffeien
Lindenweg;23;Plaffeien
Bruchbühl;24;Plaffeien
Fuhra;29;Plaffeien
Lindenweg;19;Plaffeien
Plötscha;53;Oberschrot
Bachmatte;40;Oberschrot
Bachmatte;5;Oberschrot
Riedere;47;Oberschrot
Bruchbühl;22;Plaffeien
Bruchbühl;26;Plaffeien
Bruchbühl;35;Plaffeien
Lindenweg;18;Plaffeien
Lindenweg;25;Plaffeien
Bruchbühl;28;Plaffeien
Bruchbühl;25;Plaffeien
Bruchbühl;16;Plaffeien
Bruchbühl;34;Plaffeien
Riggisalp;809;Schwarzsee
Gurlistrasse;8;Plaffeien
Büel;6;Oberschrot
Bruchbühl;15;Plaffeien
Plötscha;59;Oberschrot
Bachmatte;6;Oberschrot
Bühnimatta;30;Plaffeien
Bühnimatta;32;Plaffeien
Gassera;27;Schwarzsee
Telmoos;33;Plaffeien
Gypsera;223;Schwarzsee
Gumliweg;19;Plaffeien
Bühnimatta;34;Plaffeien
Dorfstrasse;25;Plaffeien
Mösli;70;Schwarzsee
Mösli;72;Schwarzsee
Plötscha;56;Oberschrot
Zollhaus;27;Schwarzsee
Ober Tschüplere;62a;Oberschrot
Riedere;27;Oberschrot
Plötscha;60;Oberschrot
Bruchbühl;21;Plaffeien
Rainweg;21;Plaffeien
Bruchbühl;12;Plaffeien
Bruchbühl;33;Plaffeien
Schwarzhärd;71;Oberschrot
Grubenweg;19;Plaffeien
Zelgli;27;Oberschrot
Riedere;35;Oberschrot
Plötscha;94;Oberschrot
Ried;5;Oberschrot
Sommerbüel;14;Oberschrot
Schwarzhärd;94;Oberschrot
Gassera;22;Schwarzsee
Bühnimatta;53;Plaffeien
Bühnimatta;36;Plaffeien
Sommerbüel;16;Oberschrot
Sommerbüel;14a;Oberschrot
Schwarzhärd;81;Oberschrot
Riedere;25;Oberschrot
Grubenweg;17;Plaffeien
Schwarzhärd;67;Oberschrot
Bruchbühl;4;Plaffeien
Bruchbühl;30;Plaffeien
Riedere;21;Oberschrot
Schwarzseestrasse;160;Schwarzsee
Schwarzhärd;90;Oberschrot
Schwarzhärd;66;Oberschrot
Gurlistrasse;20;Plaffeien
Schwarzhärd;49;Oberschrot
Bühnimatta;38;Plaffeien
Chretza;17;Schwarzsee
Bruchbühl;36;Plaffeien
Schwarzhärd;73;Oberschrot
Schwarzhärd;37;Oberschrot
Schwarzhärd;47;Oberschrot
Plötscha;57;Oberschrot
Plötscha;55;Oberschrot
Bühnimatta;3;Plaffeien
Gassera;38;Schwarzsee
Bruchbühl;37;Plaffeien
Chretza;23;Schwarzsee
Chromenstrasse;16;Plaffeien
Bruchbühl;39;Plaffeien
Gassera;29;Schwarzsee
Bühnimatta;42;Plaffeien
Bühnimatta;40;Plaffeien
Kaspera;12;Schwarzsee
Stäfeliweg;25;Plaffeien
Chretza;25;Schwarzsee
Chüerli;144;Schwarzsee
Bachmatte;2;Oberschrot
Ober Hapfere;10a;Plaffeien
Schwarzhärd;89;Oberschrot
Bühnimatta;52;Plaffeien
Bühnimatta;54;Plaffeien
Bühnimatta;56;Plaffeien
Zelgli;25;Oberschrot
Egg;36;Oberschrot
Burstera;22;Schwarzsee
Bühnimatta;10;Plaffeien
Sommerbüel;22;Oberschrot
Bruchbühl;17;Plaffeien
Gassera;26;Schwarzsee
Gassera;28;Schwarzsee
Seeweid;14c;Schwarzsee
Bühnimatta;51;Plaffeien
Sellenweg;38;Plaffeien
Zollhaus;44;Schwarzsee
Gurlistrasse;9;Plaffeien
Brüggera;14;Schwarzsee
Kaspera;32;Schwarzsee
Sommerbüel;30;Oberschrot
Haltli;3;Oberschrot
Schwarzhärd;43;Oberschrot
Seestrasse;123;Schwarzsee
Seestrasse;125;Schwarzsee
Schwarzhärd;85;Oberschrot
Breitfeld;16;Oberschrot
Schwarzhärd;31;Oberschrot
Schwarzhärd;22;Oberschrot
Schwarzhärd;68;Oberschrot
Riedere;43;Oberschrot
Haltli;32;Oberschrot
Stoss;23a;Schwarzsee
Winkelstrasse;19;Plaffeien
Bruchbühl;9;Plaffeien
Seeweid;16c;Schwarzsee
Gantrischli;78;Schwarzsee
Gurlistrasse;5;Plaffeien
Sommerbüel;45;Oberschrot
Schwarzhärd;93;Oberschrot
Riedere;33;Oberschrot
Kapellenstrasse;6;Plaffeien
Grubenweg;15;Plaffeien
Kapellenstrasse;6a;Plaffeien
Bruchbühl;5;Plaffeien
Rainweg;33;Plaffeien
Bühnimatta;49;Plaffeien
Bühnimatta;47;Plaffeien
Rainweg;23;Plaffeien
Bühnimatta;55;Plaffeien
Schwarzhärd;48;Oberschrot
Gumliweg;11;Plaffeien
Sommerbüel;43;Oberschrot
Rufenen;2;Plaffeien
Rainweg;29;Plaffeien
Bühnimatta;50;Plaffeien
Burstera;36;Schwarzsee
Bühnimatta;14;Plaffeien
Sellenweg;36;Plaffeien
Sellenweg;34;Plaffeien
Bruchbühl;7;Plaffeien
Plötscha;63;Oberschrot
Sommerbüel;47;Oberschrot
Schwarzhärd;39;Oberschrot
Burstera;92;Schwarzsee
Lindenweg;24;Plaffeien
Lindenweg;26;Plaffeien
Brüggera;16;Schwarzsee
Füllmattli;38;Plaffeien
Füllmattli;40;Plaffeien
Seeweid;17;Schwarzsee
Schwarzhärd;35;Oberschrot
Burstera;80;Schwarzsee
Chromenstrasse;14;Plaffeien
Kirchstrasse;7;Plaffeien
Plötscha;121;Oberschrot
Alt Rufenenweg;1;Plaffeien
Stäfeliweg;23;Plaffeien
Telmoos;14;Plaffeien
Gousmatte;51;Oberschrot
Seeweid;4d;Schwarzsee
Stäfeliweg;19;Plaffeien
Rishalta;5;Oberschrot
Bruchbühl;14;Plaffeien
Althausweg;1;Plaffeien
Zelgli;43;Oberschrot
Hollerweg;39;Plaffeien
Rüttistrasse;101;Plaffeien
Bruchbühl;32;Plaffeien
Althausweg;3;Plaffeien
Kaspera;34;Schwarzsee
Gassera;15;Schwarzsee
Hollerweg;37;Plaffeien
Kaspera;28;Schwarzsee
Riedere;39;Oberschrot
Plötscha;107;Oberschrot
Bruchbühl;20;Plaffeien
Gassera;24;Schwarzsee
Bruchbühl;31;Plaffeien
La Balisaz;199;Schwarzsee
Plötscha;36;Oberschrot
Plötscha;38;Oberschrot
Haltli;31;Oberschrot
Burstera;100;Schwarzsee
Schlossisboden;178;Schwarzsee
Burstera;66;Schwarzsee
Plötscha;42;Oberschrot
Ried;36;Oberschrot
Gassera;42;Schwarzsee
Gassera;40;Schwarzsee
Niederried;27;Oberschrot
Bühnimatta;48;Plaffeien
Notsvorschis;19;Schwarzsee
Telmoos;16;Plaffeien
Seeweid;2;Schwarzsee
Seeweid;3;Schwarzsee
Seeweid;4;Schwarzsee
Seeweid;6;Schwarzsee
Seeweid;7;Schwarzsee
Seeweid;10;Schwarzsee
Seeweid;9;Schwarzsee
Seeweid;8;Schwarzsee
Seeweid;18;Schwarzsee
Seeweid;17c;Schwarzsee
Seeweid;12c;Schwarzsee
Seeweid;13;Schwarzsee
Seeweid;30;Schwarzsee
Seeweid;31;Schwarzsee
Seeweid;34;Schwarzsee
Seeweid;35;Schwarzsee
Seeweid;38;Schwarzsee
Seeweid;39;Schwarzsee
Seeweid;43;Schwarzsee
Seeweid;41;Schwarzsee
Seeweid;42;Schwarzsee
Seeweid;40;Schwarzsee
Seeweid;49;Schwarzsee
Seeweid;48;Schwarzsee
Seeweid;1;Schwarzsee
Seeweid;5;Schwarzsee
Seeweid;15;Schwarzsee
Seeweid;11;Schwarzsee
Seeweid;50;Schwarzsee
Seeweid;52;Schwarzsee
Seeweid;44;Schwarzsee
Seeweid;45;Schwarzsee
Seeweid;46;Schwarzsee
Seeweid;47;Schwarzsee
Seeweid;53;Schwarzsee
Seeweid;54;Schwarzsee
Seeweid;55;Schwarzsee
Seeweid;57;Schwarzsee
Seeweid;58;Schwarzsee
Seeweid;60;Schwarzsee
Seeweid;62;Schwarzsee
Seeweid;63;Schwarzsee
Seeweid;64;Schwarzsee
Seeweid;73;Schwarzsee
Seeweid;74;Schwarzsee
Seeweid;75;Schwarzsee
Seeweid;77;Schwarzsee
Seeweid;82;Schwarzsee
Seeweid;83;Schwarzsee
Seeweid;84;Schwarzsee
Seeweid;85;Schwarzsee
Seeweid;86;Schwarzsee
Seeweid;87;Schwarzsee
Seeweid;88;Schwarzsee
Seeweid;89;Schwarzsee
Seeweid;90;Schwarzsee
Seeweid;92;Schwarzsee
Seeweid;93;Schwarzsee
Seeweid;96;Schwarzsee
Seeweid;97;Schwarzsee
Seeweid;101;Schwarzsee
Seeweid;102;Schwarzsee
Seeweid;103;Schwarzsee
Seeweid;100;Schwarzsee
Füllmattli;1;Plaffeien
Füllmattli;2;Plaffeien
Füllmattli;3;Plaffeien
Füllmattli;4;Plaffeien
Füllmattli;5;Plaffeien
Füllmattli;6;Plaffeien
Füllmattli;7;Plaffeien
Füllmattli;8;Plaffeien
Füllmattli;9;Plaffeien
Füllmattli;12;Plaffeien
Füllmattli;10;Plaffeien
Füllmattli;11;Plaffeien
Füllmattli;13;Plaffeien
Füllmattli;15;Plaffeien
Füllmattli;16;Plaffeien
Füllmattli;17;Plaffeien
Füllmattli;19;Plaffeien
Füllmattli;20;Plaffeien
Füllmattli;22;Plaffeien
Füllmattli;23;Plaffeien
Füllmattli;24;Plaffeien
Füllmattli;25;Plaffeien
Füllmattli;26;Plaffeien
Füllmattli;28;Plaffeien
Füllmattli;29;Plaffeien
Füllmattli;30;Plaffeien
Füllmattli;31;Plaffeien
Füllmattli;32;Plaffeien
Füllmattli;33;Plaffeien
Füllmattli;35;Plaffeien
Füllmattli;36;Plaffeien
Füllmattli;14;Plaffeien
Füllmattli;27;Plaffeien
Füllmattli;34;Plaffeien
Bühnimatta;46;Plaffeien
Hollerweg;41;Plaffeien
Riedere;37;Oberschrot
Sommerbüel;12;Oberschrot
Gurli;200;Plaffeien
Bruchbühl;19;Plaffeien
Gousmatte;49;Oberschrot
Ried;58;Oberschrot
Ried;54;Oberschrot
Sitenvorschis;853;Schwarzsee
Seestrasse;119;Schwarzsee
Seestrasse;117;Schwarzsee
Gassera;36;Schwarzsee
Gassera;25;Schwarzsee
Gassera;21;Schwarzsee
Chnewis;143;Schwarzsee
Riedere;41;Oberschrot
Niederried;36;Oberschrot
Gypsera;235;Schwarzsee
Winkelstrasse;25;Plaffeien
Bruchbühl;23;Plaffeien
Gumliweg;5;Plaffeien
Ried;56;Oberschrot
Niederried;19;Oberschrot
Seeweid;32;Schwarzsee
Seeweid;8a;Schwarzsee
Seeweid;7a;Schwarzsee
Seeweid;2a;Schwarzsee
Seeweid;10a;Schwarzsee
Seeweid;1a;Schwarzsee
Seeweid;9a;Schwarzsee
Seeweid;4a;Schwarzsee
Seeweid;12a;Schwarzsee
Seeweid;3a;Schwarzsee
Seeweid;11a;Schwarzsee
Seeweid;6a;Schwarzsee
Seeweid;15a;Schwarzsee
Seeweid;5a;Schwarzsee
Seeweid;13a;Schwarzsee
Ried;50;Oberschrot
Gassera;1;Schwarzsee
Bruchbühl;10;Plaffeien
Plötscha;27;Oberschrot
Bärfeli;21;Oberschrot
Winkelstrasse;27;Plaffeien
Stoss;23;Schwarzsee
Riedere;31;Oberschrot
Riedere;29;Oberschrot
Fischerbächli;30;Plaffeien
Kloster;4;Plaffeien
Niederried;54;Oberschrot
Ried;60;Oberschrot
Seeweid;22;Schwarzsee
Schlossisboden;6;Schwarzsee
Gassera;104;Schwarzsee
Nussbaumerli;206;Schwarzsee
Ober Chnewis;139;Schwarzsee
Under Tschüplere;53;Oberschrot
Zelgli;30;Oberschrot
Niederried;32;Oberschrot
Bühnimatta;26;Plaffeien
Bühnimatta;28;Plaffeien
Bühnimatta;45;Plaffeien
Zelgli;40;Oberschrot
Rishalta;16;Oberschrot
Riedere;46;Oberschrot
Zelgli;45;Oberschrot
Sommerbüel;24;Oberschrot
Udrischa;103;Schwarzsee
Gross Ättenberg;39;Schwarzsee
Sommerbüel;20;Oberschrot
Plötscha;61;Oberschrot
Riedere;19;Oberschrot
Sommerbüel;18;Oberschrot
Sommerbüel;26;Oberschrot
Rüttistrasse;11;Plaffeien
Rishalta;31;Oberschrot
Niederried;5;Oberschrot
Ried;51;Oberschrot
Ried;73;Oberschrot
Plötscha;46;Oberschrot
Gassera;30;Schwarzsee
Hollerweg;43;Plaffeien
Bruchbühl;38;Plaffeien
Chretza;20;Schwarzsee
Rishalta;18;Oberschrot
