Vordere Stalden;592;Schwarzsee
Egg;39;Oberschrot
Grundberg;3;Oberschrot
Gousmatte;43;Oberschrot
Under Tschüplere;62;Oberschrot
Gousmatte;45;Oberschrot
Gousmatte;47;Oberschrot
Gousmatte;21;Oberschrot
Gousmatte;38;Oberschrot
Gousmatte;23;Oberschrot
Gousmatte;41;Oberschrot
Grundberg;2;Oberschrot
Gousmatte;30;Oberschrot
Under Tschüplere;59;Oberschrot
Dorfstrasse;2;Plaffeien
Dorfstrasse;17;Plaffeien
Dorfstrasse;8;Plaffeien
Dorfstrasse;14;Plaffeien
Dorfstrasse;27;Plaffeien
Dorfstrasse;18;Plaffeien
Dorfstrasse;24;Plaffeien
Dorfstrasse;26;Plaffeien
Dorfstrasse;28;Plaffeien
Dorfstrasse;30;Plaffeien
Dorfstrasse;32;Plaffeien
Dorfstrasse;34;Plaffeien
Hauptstrasse;3;Plaffeien
Hauptstrasse;4;Plaffeien
Schulhausweg;1;Plaffeien
Hauptstrasse;16;Plaffeien
Hauptstrasse;15;Plaffeien
Hauptstrasse;18;Plaffeien
Hauptstrasse;17;Plaffeien
Hauptstrasse;26;Plaffeien
Hauptstrasse;19;Plaffeien
Hauptstrasse;25;Plaffeien
Kirchstrasse;12;Plaffeien
Kirchstrasse;9;Plaffeien
Kirchstrasse;10;Plaffeien
Kirchstrasse;4;Plaffeien
Kirchstrasse;2;Plaffeien
Kurschürliweg;1;Plaffeien
Kurschürliweg;2;Plaffeien
Kurschürliweg;5;Plaffeien
Kurschürliweg;6;Plaffeien
Kurschürliweg;7;Plaffeien
Kurschürliweg;14;Plaffeien
Kurschürliweg;9;Plaffeien
Buchenweg;8;Plaffeien
Seeliweg;11;Plaffeien
Winkelstrasse;9;Plaffeien
Winkelstrasse;2;Plaffeien
Winkelstrasse;15;Plaffeien
Hollerweg;6;Plaffeien
Winkelstrasse;21;Plaffeien
Winkelstrasse;20;Plaffeien
Winkelstrasse;22;Plaffeien
Winkelstrasse;26;Plaffeien
Winkelstrasse;24;Plaffeien
Hollerweg;9;Plaffeien
Hollerweg;20;Plaffeien
Hollerweg;42;Plaffeien
Hollerweg;46;Plaffeien
