Borlion;11a;Buseno
Borlion;2;Buseno
Borlion;21;Buseno
Borlion;23;Buseno
Borlion;29;Buseno
Borlion;5;Buseno
Fontanol di Sot;41;Buseno
Giova;1;Buseno
Giova;9;Buseno
Ai Pian;168q;Buseno
