Doregg;1160;Brienz BE;3855
Doregg;1159;Brienz BE;3855
Gygersbiel;1153a;Brienz BE;3855
Dorni;1149;Brienz BE;3855
Erli Bachtalen;771;Brienz BE;3855
Erli Bachtalen;768;Brienz BE;3855
Erli Bachtalen;765;Brienz BE;3855
Erli Bachtalen;774;Brienz BE;3855
Erli Bachtalen;774b;Brienz BE;3855
Gofri;3f;Brienz BE;3855
Gofri;3a;Brienz BE;3855
Gofri;3;Brienz BE;3855
Gofri;6a;Brienz BE;3855
Gofri;6b;Brienz BE;3855
Gofri;3e;Brienz BE;3855
Gofri;5;Brienz BE;3855
Gofri;700;Brienz BE;3855
Gofri;701a;Brienz BE;3855
Seematten;6;Brienz BE;3855
Seematten;6e;Brienz BE;3855
Dittligen;4d;Brienz BE;3855
Seemattenstrasse;9;Brienz BE;3855
Seemattenstrasse;9a;Brienz BE;3855
Oberdorfstrasse;109;Brienz BE;3855
Oberdorfstrasse;107;Brienz BE;3855
Oberdorfstrasse;105;Brienz BE;3855
Oberdorfstrasse;99;Brienz BE;3855
Oberdorfstrasse;101;Brienz BE;3855
Chilchgasse;6;Brienz BE;3855
Chilchgasse;4;Brienz BE;3855
Kirchbühl;4;Brienz BE;3855
Oberdorfstrasse;87;Brienz BE;3855
Baumlen;1;Brienz BE;3855
Hauptstrasse;3;Brienz BE;3855
Sagigässli;2;Brienz BE;3855
Sagigässli;4;Brienz BE;3855
Seematten;10;Brienz BE;3855
Tenndli;702;Brienz BE;3855
Tenndli;699a;Brienz BE;3855
Gofri;3h;Brienz BE;3855
Fridegg;703a;Brienz BE;3855
Chilchacher;708b;Brienz BE;3855
Seemattenstrasse;8;Brienz BE;3855
Chilchacher;746;Brienz BE;3855
Chilchacher;745;Brienz BE;3855
Chilchacher;709a;Brienz BE;3855
Tenndli;7;Brienz BE;3855
Tenndli;7a;Brienz BE;3855
Oberdorfstrasse;103;Brienz BE;3855
Feldstrasse;42;Brienz BE;3855
Langachristrasse;6;Brienz BE;3855
Feldstrasse;48;Brienz BE;3855
Feldstrasse;50;Brienz BE;3855
Feldstrasse;54;Brienz BE;3855
Brunnacherweg;2;Brienz BE;3855
Brunnacherweg;10;Brienz BE;3855
Brunnacherweg;20;Brienz BE;3855
Brunnacherweg;7;Brienz BE;3855
Brunnacherweg;11;Brienz BE;3855
Brunnacherweg;15;Brienz BE;3855
Brunnacherweg;17;Brienz BE;3855
Brunnacherweg;21;Brienz BE;3855
Brunnacherweg;6;Brienz BE;3855
Feldstrasse;58;Brienz BE;3855
Feldstrasse;60;Brienz BE;3855
Birgisgasse;1;Brienz BE;3855
Birgisgasse;5;Brienz BE;3855
Birgisgasse;7;Brienz BE;3855
Langachristrasse;25;Brienz BE;3855
Steinerstrasse;15;Brienz BE;3855
Birgisgasse;6;Brienz BE;3855
Birgisgasse;3;Brienz BE;3855
Birgisgasse;24;Brienz BE;3855
Birgisgasse;26;Brienz BE;3855
Birgisgasse;28;Brienz BE;3855
Birgisgasse;32;Brienz BE;3855
Gampeliweg;2;Brienz BE;3855
Gampeliweg;3;Brienz BE;3855
Gampeliweg;9;Brienz BE;3855
Strytacherweg;9;Brienz BE;3855
Strytacherweg;7;Brienz BE;3855
Strytacherweg;5;Brienz BE;3855
Strytacherweg;3;Brienz BE;3855
Strytacherweg;1;Brienz BE;3855
Birgisgasse;35;Brienz BE;3855
Brunnacherweg;9;Brienz BE;3855
Oberdorfstrasse;80;Brienz BE;3855
Oberdorfstrasse;86;Brienz BE;3855
Oberdorfstrasse;88;Brienz BE;3855
Steinerstrasse;1;Brienz BE;3855
Steinerstrasse;2;Brienz BE;3855
Oberdorfstrasse;84;Brienz BE;3855
Brunnacherweg;5;Brienz BE;3855
Oberdorfstrasse;102;Brienz BE;3855
Oberdorfstrasse;104;Brienz BE;3855
Oberdorfstrasse;106;Brienz BE;3855
Oberdorfstrasse;108;Brienz BE;3855
Oberdorfstrasse;110;Brienz BE;3855
Sagigässli;12;Brienz BE;3855
Steinerstrasse;18;Brienz BE;3855
Rybiweg;6;Brienz BE;3855
Steinerstrasse;22;Brienz BE;3855
Steinerstrasse;24;Brienz BE;3855
Steinerstrasse;26;Brienz BE;3855
Steinerstrasse;34;Brienz BE;3855
Steinerstrasse;13;Brienz BE;3855
Steinerstrasse;11;Brienz BE;3855
Steinerstrasse;7;Brienz BE;3855
Rybiweg;5;Brienz BE;3855
Rybiweg;7;Brienz BE;3855
Rybiweg;10;Brienz BE;3855
Rybiweg;12;Brienz BE;3855
Steinerstrasse;36;Brienz BE;3855
Steinerstrasse;3;Brienz BE;3855
Oberdorfstrasse;96;Brienz BE;3855
Oberdorfstrasse;71;Brienz BE;3855
Oberdorfstrasse;73;Brienz BE;3855
Oberdorfstrasse;79;Brienz BE;3855
Schleegasse;8;Brienz BE;3855
Schleegasse;4;Brienz BE;3855
Hauptstrasse;10;Brienz BE;3855
Hauptstrasse;14;Brienz BE;3855
Hauptstrasse;16;Brienz BE;3855
Hauptstrasse;13;Brienz BE;3855
Hauptstrasse;15a;Brienz BE;3855
Hauptstrasse;15;Brienz BE;3855
Hauptstrasse;19;Brienz BE;3855
Oberdorfstrasse;83;Brienz BE;3855
Hauptstrasse;8;Brienz BE;3855
Oberdorfstrasse;65;Brienz BE;3855
Oberdorfstrasse;61;Brienz BE;3855
Brunngasse;25;Brienz BE;3855
Brunngasse;19;Brienz BE;3855
Brunngasse;13;Brienz BE;3855
Brunngasse;11;Brienz BE;3855
Brunngasse;9;Brienz BE;3855
Brunngasse;17;Brienz BE;3855
Brunngasse;7;Brienz BE;3855
Hauptstrasse;27;Brienz BE;3855
Brunngasse;5;Brienz BE;3855
Hauptstrasse;22;Brienz BE;3855
Hauptstrasse;9;Brienz BE;3855
Brunngasse;1;Brienz BE;3855
Hauptstrasse;25;Brienz BE;3855
Brunngasse;3;Brienz BE;3855
Oberdorfstrasse;77;Brienz BE;3855
Oberdorfstrasse;81;Brienz BE;3855
Oberdorfstrasse;85;Brienz BE;3855
Schleegasse;6;Brienz BE;3855
Hauptstrasse;11;Brienz BE;3855
Brunngasse;15;Brienz BE;3855
Eschweg;1;Brienz BE;3855
Eschweg;2;Brienz BE;3855
Eschweg;4;Brienz BE;3855
Eschweg;6;Brienz BE;3855
Eschweg;14;Brienz BE;3855
Oberdorfstrasse;8;Brienz BE;3855
Oberdorfstrasse;10;Brienz BE;3855
Oberdorfstrasse;12;Brienz BE;3855
Oberdorfstrasse;14;Brienz BE;3855
Oberdorfstrasse;18;Brienz BE;3855
Oberdorfstrasse;32;Brienz BE;3855
Oberdorfstrasse;28;Brienz BE;3855
Oberdorfstrasse;30;Brienz BE;3855
Oberdorfstrasse;34;Brienz BE;3855
Oberdorfstrasse;36;Brienz BE;3855
Oberdorfstrasse;44;Brienz BE;3855
Oberdorfstrasse;46;Brienz BE;3855
Platzlistrasse;1;Brienz BE;3855
Platzlistrasse;4;Brienz BE;3855
Platzlistrasse;8;Brienz BE;3855
Feldstrasse;33;Brienz BE;3855
Feldstrasse;31;Brienz BE;3855
Feldstrasse;27;Brienz BE;3855
Feldstrasse;25;Brienz BE;3855
Feldstrasse;9;Brienz BE;3855
Feldstrasse;7;Brienz BE;3855
Feldstrasse;5;Brienz BE;3855
Hauptstrasse;123;Brienz BE;3855
Hauptstrasse;121;Brienz BE;3855
Hauptstrasse;119;Brienz BE;3855
Hauptstrasse;117;Brienz BE;3855
Hauptstrasse;113;Brienz BE;3855
Hauptstrasse;109;Brienz BE;3855
Hauptstrasse;107;Brienz BE;3855
Oberdorfstrasse;2;Brienz BE;3855
Schulhausstrasse;27;Brienz BE;3855
Schulhausstrasse;20;Brienz BE;3855
Schulhausstrasse;29;Brienz BE;3855
Schulhausstrasse;8;Brienz BE;3855
Schulhausstrasse;5;Brienz BE;3855
Schulhausstrasse;3;Brienz BE;3855
Schulhausstrasse;1;Brienz BE;3855
Oberdorfstrasse;4;Brienz BE;3855
Oberdorfstrasse;42;Brienz BE;3855
Oberdorfstrasse;48;Brienz BE;3855
Oberdorfstrasse;50;Brienz BE;3855
Oberdorfstrasse;52;Brienz BE;3855
Oberdorfstrasse;60;Brienz BE;3855
Oberdorfstrasse;66;Brienz BE;3855
Oberdorfstrasse;68;Brienz BE;3855
Oberdorfstrasse;72;Brienz BE;3855
Oberdorfstrasse;74;Brienz BE;3855
Oberdorfstrasse;56;Brienz BE;3855
Oberdorfstrasse;76;Brienz BE;3855
Oberdorfstrasse;70;Brienz BE;3855
Feldstrasse;47;Brienz BE;3855
Schulhausstrasse;22;Brienz BE;3855
Behämsgasse;1;Brienz BE;3855
Behämsgasse;5;Brienz BE;3855
Behämsgasse;7;Brienz BE;3855
Behämsgasse;11;Brienz BE;3855
Behämsgasse;13;Brienz BE;3855
Behämsgasse;15;Brienz BE;3855
Oberdorfstrasse;27;Brienz BE;3855
Oberdorfstrasse;37;Brienz BE;3855
Krummgasse;12;Brienz BE;3855
Krummgasse;14;Brienz BE;3855
Krummgasse;16;Brienz BE;3855
Krummgasse;18;Brienz BE;3855
Krummgasse;8;Brienz BE;3855
Krummgasse;3;Brienz BE;3855
